Bin,Hz,Power (mean sq amp),condition
368,56.15,0.00171099,gap_junc_block
369,56.3,0.000944361,gap_junc_block
370,56.46,0.00198447,gap_junc_block
371,56.61,0.00151695,gap_junc_block
372,56.76,0.00324633,gap_junc_block
373,56.92,0.000950374,gap_junc_block
374,57.07,0.000720418,gap_junc_block
375,57.22,0.00345981,gap_junc_block
376,57.37,0.000873877,gap_junc_block
377,57.53,0.000887878,gap_junc_block
378,57.68,0.00122964,gap_junc_block
379,57.83,3.32E-05,gap_junc_block
380,57.98,0.00101702,gap_junc_block
381,58.14,0.000768459,gap_junc_block
382,58.29,0.00171582,gap_junc_block
383,58.44,0.0033587,gap_junc_block
384,58.59,0.00175743,gap_junc_block
385,58.75,0.00160614,gap_junc_block
386,58.9,0.000203223,gap_junc_block
387,59.05,0.00146013,gap_junc_block
388,59.2,0.000413017,gap_junc_block
389,59.36,0.00228713,gap_junc_block
390,59.51,0.000478474,gap_junc_block
391,59.66,0.00086799,gap_junc_block
392,59.81,0.000193917,gap_junc_block
393,59.97,0.00108796,gap_junc_block
394,60.12,0.000318588,gap_junc_block
395,60.27,0.000515701,gap_junc_block
396,60.42,0.00252511,gap_junc_block
397,60.58,0.00231466,gap_junc_block
398,60.73,0.00119639,gap_junc_block
399,60.88,0.00185781,gap_junc_block
400,61.04,0.00107297,gap_junc_block
401,61.19,0.000411304,gap_junc_block
402,61.34,6.38E-05,gap_junc_block
403,61.49,9.58E-06,gap_junc_block
404,61.65,0.00151177,gap_junc_block
405,61.8,0.00180111,gap_junc_block
406,61.95,0.000660867,gap_junc_block
407,62.1,8.44E-05,gap_junc_block
408,62.26,0.000276555,gap_junc_block
409,62.41,0.000401062,gap_junc_block
410,62.56,0.000341157,gap_junc_block
411,62.71,0.000528358,gap_junc_block
412,62.87,0.00158885,gap_junc_block
413,63.02,0.000742804,gap_junc_block
414,63.17,0.000214639,gap_junc_block
415,63.32,0.000508568,gap_junc_block
416,63.48,9.43E-05,gap_junc_block
417,63.63,0.00100037,gap_junc_block
418,63.78,0.000375259,gap_junc_block
419,63.93,0.00132429,gap_junc_block
420,64.09,0.000853757,gap_junc_block
421,64.24,0.00100194,gap_junc_block
422,64.39,0.00300804,gap_junc_block
423,64.54,0.00115853,gap_junc_block
424,64.7,0.00178115,gap_junc_block
425,64.85,0.00365283,gap_junc_block
426,65,0.00423602,gap_junc_block
427,65.16,0.00230018,gap_junc_block
428,65.31,0.00123519,gap_junc_block
429,65.46,0.000292736,gap_junc_block
430,65.61,9.23E-05,gap_junc_block
431,65.77,5.05E-06,gap_junc_block
432,65.92,0.000357714,gap_junc_block
433,66.07,0.000946355,gap_junc_block
434,66.22,0.00133662,gap_junc_block
435,66.38,0.00095533,gap_junc_block
436,66.53,0.000436057,gap_junc_block
437,66.68,0.00011701,gap_junc_block
438,66.83,0.000584418,gap_junc_block
439,66.99,7.38E-05,gap_junc_block
440,67.14,0.000136421,gap_junc_block
441,67.29,0.000626787,gap_junc_block
442,67.44,0.00128764,gap_junc_block
443,67.6,0.00233947,gap_junc_block
444,67.75,0.00159731,gap_junc_block
445,67.9,0.00288124,gap_junc_block
446,68.05,0.00601254,gap_junc_block
447,68.21,0.00267802,gap_junc_block
448,68.36,0.00370497,gap_junc_block
449,68.51,0.00237017,gap_junc_block
450,68.66,0.00376873,gap_junc_block
451,68.82,0.00234664,gap_junc_block
452,68.97,0.000273503,gap_junc_block
453,69.12,0.00422228,gap_junc_block
454,69.27,0.00198505,gap_junc_block
455,69.43,0.00010078,gap_junc_block
456,69.58,0.000324466,gap_junc_block
457,69.73,0.00248709,gap_junc_block
458,69.89,0.00331255,gap_junc_block
459,70.04,0.00312529,gap_junc_block
460,70.19,0.00204795,gap_junc_block
461,70.34,0.00136844,gap_junc_block
462,70.5,0.00161693,gap_junc_block
463,70.65,0.00150571,gap_junc_block
464,70.8,0.00123031,gap_junc_block
465,70.95,0.00218229,gap_junc_block
466,71.11,0.00482202,gap_junc_block
467,71.26,0.00446928,gap_junc_block
468,71.41,0.00350658,gap_junc_block
469,71.56,0.00047992,gap_junc_block
470,71.72,5.58E-05,gap_junc_block
471,71.87,0.000279532,gap_junc_block
472,72.02,0.00316501,gap_junc_block
473,72.17,0.000338883,gap_junc_block
474,72.33,0.00137763,gap_junc_block
475,72.48,0.00123175,gap_junc_block
476,72.63,0.000571748,gap_junc_block
477,72.78,0.000248104,gap_junc_block
478,72.94,0.0014454,gap_junc_block
479,73.09,0.00102166,gap_junc_block
480,73.24,0.000524042,gap_junc_block
481,73.39,0.000896169,gap_junc_block
482,73.55,0.000152654,gap_junc_block
483,73.7,0.00105042,gap_junc_block
484,73.85,0.000635375,gap_junc_block
485,74.01,6.56E-05,gap_junc_block
486,74.16,0.00258535,gap_junc_block
487,74.31,0.000778492,gap_junc_block
488,74.46,0.000756491,gap_junc_block
489,74.62,0.00124584,gap_junc_block
490,74.77,0.00291874,gap_junc_block
491,74.92,0.000346535,gap_junc_block
492,75.07,5.58E-05,gap_junc_block
493,75.23,0.000472081,gap_junc_block
494,75.38,0.000159078,gap_junc_block
495,75.53,0.000386665,gap_junc_block
496,75.68,0.000778902,gap_junc_block
497,75.84,0.000319513,gap_junc_block
498,75.99,0.0036142,gap_junc_block
499,76.14,0.00165455,gap_junc_block
500,76.29,0.00170569,gap_junc_block
501,76.45,0.00195454,gap_junc_block
502,76.6,0.000154051,gap_junc_block
503,76.75,0.0042698,gap_junc_block
504,76.9,0.00135214,gap_junc_block
505,77.06,0.000848515,gap_junc_block
506,77.21,0.00315918,gap_junc_block
507,77.36,0.000491295,gap_junc_block
508,77.51,0.00402521,gap_junc_block
509,77.67,0.0048983,gap_junc_block
510,77.82,0.00557805,gap_junc_block
511,77.97,0.0125146,gap_junc_block
512,78.13,0.00230018,gap_junc_block
513,78.28,0.00375815,gap_junc_block
514,78.43,0.00562648,gap_junc_block
515,78.58,0.0010206,gap_junc_block
516,78.74,0.00169857,gap_junc_block
517,78.89,0.00900731,gap_junc_block
518,79.04,0.00376841,gap_junc_block
519,79.19,0.00276908,gap_junc_block
520,79.35,0.0058697,gap_junc_block
521,79.5,0.000332239,gap_junc_block
522,79.65,0.00219058,gap_junc_block
523,79.8,0.00358512,gap_junc_block
524,79.96,0.00112386,gap_junc_block
525,80.11,0.0028017,gap_junc_block
526,80.26,0.00333818,gap_junc_block
527,80.41,0.00358541,gap_junc_block
528,80.57,0.000864183,gap_junc_block
529,80.72,0.008669,gap_junc_block
530,80.87,0.00415622,gap_junc_block
531,81.02,0.00435242,gap_junc_block
532,81.18,0.00331892,gap_junc_block
533,81.33,0.00474704,gap_junc_block
534,81.48,0.00272297,gap_junc_block
535,81.63,0.0025404,gap_junc_block
536,81.79,0.0190153,gap_junc_block
537,81.94,0.0111921,gap_junc_block
538,82.09,0.00610213,gap_junc_block
539,82.24,0.0083273,gap_junc_block
540,82.4,0.00229635,gap_junc_block
541,82.55,0.000927898,gap_junc_block
542,82.7,0.00149723,gap_junc_block
543,82.86,0.00448005,gap_junc_block
544,83.01,0.00185564,gap_junc_block
545,83.16,0.0033198,gap_junc_block
546,83.31,0.00665568,gap_junc_block
547,83.47,0.003661,gap_junc_block
548,83.62,0.00343069,gap_junc_block
549,83.77,0.00512285,gap_junc_block
550,83.92,0.00529217,gap_junc_block
551,84.08,0.00452382,gap_junc_block
552,84.23,0.00539474,gap_junc_block
553,84.38,0.00648982,gap_junc_block
554,84.53,0.00739397,gap_junc_block
555,84.69,0.00598435,gap_junc_block
556,84.84,0.00419919,gap_junc_block
557,84.99,0.0015371,gap_junc_block
558,85.14,0.00013008,gap_junc_block
559,85.3,0.000374008,gap_junc_block
560,85.45,0.000968917,gap_junc_block
561,85.6,0.00145472,gap_junc_block
562,85.75,0.00230997,gap_junc_block
563,85.91,0.00505632,gap_junc_block
564,86.06,0.00512457,gap_junc_block
565,86.21,0.00502954,gap_junc_block
566,86.36,0.00389957,gap_junc_block
567,86.52,0.00954836,gap_junc_block
568,86.67,0.000887405,gap_junc_block
569,86.82,0.00766661,gap_junc_block
570,86.98,0.000457167,gap_junc_block
571,87.13,0.00991917,gap_junc_block
572,87.28,0.00258493,gap_junc_block
573,87.43,0.00191916,gap_junc_block
574,87.59,0.010652,gap_junc_block
575,87.74,0.00200439,gap_junc_block
576,87.89,0.00382165,gap_junc_block
577,88.04,0.00170488,gap_junc_block
578,88.2,0.00182511,gap_junc_block
579,88.35,0.00773899,gap_junc_block
580,88.5,0.00485431,gap_junc_block
581,88.65,0.0119153,gap_junc_block
582,88.81,0.0391784,gap_junc_block
583,88.96,0.000560739,gap_junc_block
584,89.11,0.0400968,gap_junc_block
585,89.26,0.0198257,gap_junc_block
586,89.42,0.0328165,gap_junc_block
587,89.57,0.100865,gap_junc_block
588,89.72,0.0204002,gap_junc_block
589,89.87,0.0721755,gap_junc_block
590,90.03,0.0439744,gap_junc_block
591,90.18,0.00788734,gap_junc_block
592,90.33,0.027316,gap_junc_block
593,90.48,0.00456548,gap_junc_block
594,90.64,0.0172601,gap_junc_block
595,90.79,0.0137715,gap_junc_block
596,90.94,0.0363158,gap_junc_block
597,91.09,0.0268135,gap_junc_block
598,91.25,0.030316,gap_junc_block
599,91.4,0.0134188,gap_junc_block
600,91.55,0.00805933,gap_junc_block
601,91.71,0.0142309,gap_junc_block
602,91.86,0.00579059,gap_junc_block
603,92.01,0.00965099,gap_junc_block
604,92.16,0.0107809,gap_junc_block
605,92.32,0.00350011,gap_junc_block
606,92.47,0.0369349,gap_junc_block
607,92.62,0.00194449,gap_junc_block
608,92.77,0.0452768,gap_junc_block
609,92.93,0.0457805,gap_junc_block
610,93.08,0.00618095,gap_junc_block
611,93.23,0.0263397,gap_junc_block
612,93.38,0.0299652,gap_junc_block
613,93.54,0.00275881,gap_junc_block
614,93.69,0.0978471,gap_junc_block
615,93.84,0.0490161,gap_junc_block
616,93.99,0.0345724,gap_junc_block
617,94.15,0.144675,gap_junc_block
618,94.3,0.044564,gap_junc_block
619,94.45,0.127565,gap_junc_block
620,94.6,0.207159,gap_junc_block
621,94.76,0.047854,gap_junc_block
622,94.91,0.0358245,gap_junc_block
623,95.06,0.0237936,gap_junc_block
624,95.21,0.00211844,gap_junc_block
625,95.37,0.000908692,gap_junc_block
626,95.52,0.00497507,gap_junc_block
627,95.67,0.000386519,gap_junc_block
628,95.83,0.000782339,gap_junc_block
629,95.98,0.000294771,gap_junc_block
630,96.13,4.46E-05,gap_junc_block
631,96.28,0.000731776,gap_junc_block
632,96.44,0.00734525,gap_junc_block
633,96.59,0.00584851,gap_junc_block
634,96.74,0.00415518,gap_junc_block
635,96.89,0.00289452,gap_junc_block
636,97.05,0.00260452,gap_junc_block
637,97.2,0.000729255,gap_junc_block
638,97.35,1.97E-06,gap_junc_block
639,97.5,0.00145442,gap_junc_block
640,97.66,0.000570977,gap_junc_block
641,97.81,0.00101988,gap_junc_block
642,97.96,0.00126556,gap_junc_block
643,98.11,0.0011034,gap_junc_block
644,98.27,0.00130104,gap_junc_block
645,98.42,0.000323874,gap_junc_block
646,98.57,0.000140021,gap_junc_block
647,98.72,0.000376304,gap_junc_block
648,98.88,0.000305673,gap_junc_block
649,99.03,0.000225608,gap_junc_block
650,99.18,0.000968536,gap_junc_block
651,99.33,0.000235442,gap_junc_block
652,99.49,0.000256069,gap_junc_block
653,99.64,0.000295992,gap_junc_block
654,99.79,0.00200128,gap_junc_block
655,99.95,0.00167859,gap_junc_block
656,100.1,0.000841622,gap_junc_block
657,100.25,0.000767791,gap_junc_block
658,100.4,9.57E-05,gap_junc_block
659,100.56,0.000236803,gap_junc_block
660,100.71,0.000352871,gap_junc_block
661,100.86,0.00051909,gap_junc_block
662,101.01,0.000403372,gap_junc_block
663,101.17,3.19E-05,gap_junc_block
664,101.32,0.00079652,gap_junc_block
665,101.47,5.24E-05,gap_junc_block
666,101.62,6.74E-05,gap_junc_block
667,101.78,0.000326371,gap_junc_block
668,101.93,8.95E-05,gap_junc_block
669,102.08,0.000203212,gap_junc_block
670,102.23,0.000700326,gap_junc_block
671,102.39,0.000764442,gap_junc_block
672,102.54,0.000205473,gap_junc_block
673,102.69,8.88E-05,gap_junc_block
674,102.84,6.43E-05,gap_junc_block
675,103,0.000646164,gap_junc_block
676,103.15,0.000885624,gap_junc_block
677,103.3,2.40E-05,gap_junc_block
678,103.45,0.000293146,gap_junc_block
679,103.61,0.000139958,gap_junc_block
680,103.76,0.000963552,gap_junc_block
681,103.91,0.00101518,gap_junc_block
682,104.06,0.00115379,gap_junc_block
683,104.22,7.43E-05,gap_junc_block
684,104.37,0.00166736,gap_junc_block
685,104.52,0.00115043,gap_junc_block
686,104.68,0.000857256,gap_junc_block
687,104.83,0.00203179,gap_junc_block
688,104.98,0.00105628,gap_junc_block
689,105.13,0.00146813,gap_junc_block
690,105.29,0.0024854,gap_junc_block
691,105.44,0.00193014,gap_junc_block
692,105.59,0.00297279,gap_junc_block
